Humerus_w,Humerus_x,Humerus_y,Humerus_z,Radius_w,Radius_x,Radius_y,Radius_z,Rotation_Angle
0.082,-0.925,-0.117,-0.352,0.294,0.522,0.632,0.491,110.5
0.082,-0.925,-0.117,-0.352,0.275,0.541,0.659,0.444,117.2
0.082,-0.925,-0.117,-0.352,0.251,0.552,0.685,0.404,123.4
0.071,-0.938,-0.125,-0.315,0.251,0.552,0.685,0.404,123.3
0.071,-0.938,-0.125,-0.315,0.228,0.56,0.712,0.357,129.9
0.041,-0.968,-0.141,-0.205,0.228,0.56,0.712,0.357,129.9
0.03,-0.973,-0.146,-0.174,0.228,0.56,0.712,0.357,129.9
0.03,-0.973,-0.146,-0.174,0.182,0.568,0.756,0.269,142.1
0.03,-0.973,-0.146,-0.174,0.164,0.567,0.773,0.233,146.9
0.012,-0.98,-0.16,-0.121,0.164,0.567,0.773,0.233,146.9
0.012,-0.98,-0.16,-0.121,0.139,0.566,0.797,0.16,155.6
0.012,-0.98,-0.16,-0.121,0.131,0.566,0.805,0.119,160.0
0.002,0.982,0.162,0.095,0.131,0.566,0.805,0.119,160.0
0.016,0.983,0.168,0.07,0.131,0.566,0.805,0.119,160.1
0.025,0.984,0.171,0.045,0.131,0.566,0.805,0.119,160.1
0.025,0.984,0.171,0.045,0.116,0.565,0.813,0.082,164.6
0.025,0.984,0.171,0.045,0.102,0.563,0.819,0.049,168.6
0.025,0.984,0.171,0.045,0.086,0.562,0.822,0.022,172.0
0.033,0.984,0.174,0.026,0.086,0.562,0.822,0.022,172.1
0.037,0.984,0.176,0.007,0.086,0.562,0.822,0.022,172.2
0.037,0.984,0.176,0.007,0.071,0.561,0.824,-0.002,175.4
0.04,0.983,0.18,-0.01,0.071,0.561,0.824,-0.002,175.5
0.04,0.983,0.18,-0.01,0.053,0.562,0.825,-0.028,179.0
0.04,0.983,0.18,-0.01,0.04,0.561,0.825,-0.046,178.1
0.04,0.983,0.18,-0.01,0.034,0.56,0.826,-0.053,177.1
0.04,0.983,0.18,-0.01,0.031,0.562,0.825,-0.051,177.2
0.04,0.983,0.18,-0.01,0.031,0.562,0.825,-0.049,177.3
0.04,0.983,0.18,-0.01,0.033,0.562,0.825,-0.039,178.4
0.04,0.983,0.18,-0.01,0.037,0.566,0.823,-0.007,178.3
0.043,0.981,0.187,-0.04,0.037,0.566,0.823,-0.007,178.1
0.041,0.98,0.19,-0.044,0.037,0.566,0.823,-0.007,178.0
0.039,0.98,0.19,-0.043,0.037,0.566,0.823,-0.007,178.0
0.037,0.98,0.19,-0.041,0.037,0.566,0.823,-0.007,177.9
0.037,0.98,0.19,-0.041,0.052,0.568,0.821,0.037,173.0
0.037,0.98,0.19,-0.041,0.076,0.569,0.815,0.079,167.5
0.037,0.98,0.19,-0.041,0.103,0.566,0.808,0.124,161.4
0.037,0.98,0.19,-0.041,0.135,0.562,0.797,0.175,154.4
0.001,0.981,0.187,0.048,0.135,0.562,0.797,0.175,154.5
0.007,-0.979,-0.186,-0.084,0.135,0.562,0.797,0.175,154.5
0.028,-0.97,-0.185,-0.158,0.135,0.562,0.797,0.175,154.4
0.035,-0.963,-0.182,-0.194,0.135,0.562,0.797,0.175,154.5
0.041,-0.956,-0.177,-0.229,0.135,0.562,0.797,0.175,154.5
0.041,-0.956,-0.177,-0.229,0.159,0.558,0.782,0.229,147.6
0.041,-0.956,-0.177,-0.229,0.184,0.553,0.765,0.274,141.4
0.041,-0.956,-0.177,-0.229,0.207,0.546,0.748,0.315,135.6
0.044,-0.95,-0.173,-0.256,0.207,0.546,0.748,0.315,135.7
0.046,-0.945,-0.172,-0.276,0.207,0.546,0.748,0.315,135.7
0.046,-0.945,-0.172,-0.276,0.243,0.537,0.716,0.374,126.9
0.046,-0.945,-0.172,-0.276,0.261,0.532,0.697,0.404,122.4
0.049,-0.936,-0.169,-0.305,0.261,0.532,0.697,0.404,122.4
0.055,-0.925,-0.17,-0.335,0.261,0.532,0.697,0.404,122.3
0.06,-0.917,-0.168,-0.357,0.261,0.532,0.697,0.404,122.4
0.06,-0.917,-0.168,-0.357,0.278,0.523,0.679,0.434,117.8
0.06,-0.917,-0.168,-0.357,0.305,0.508,0.648,0.478,110.6
0.063,-0.91,-0.167,-0.375,0.305,0.508,0.648,0.478,110.6
0.063,-0.91,-0.167,-0.375,0.315,0.499,0.635,0.499,107.5
0.07,-0.903,-0.164,-0.392,0.315,0.499,0.635,0.499,107.5
0.07,-0.903,-0.164,-0.392,0.323,0.495,0.62,0.516,104.8
0.07,-0.903,-0.164,-0.392,0.331,0.492,0.605,0.532,102.1
0.082,-0.89,-0.155,-0.42,0.331,0.492,0.605,0.532,102.2
0.082,-0.89,-0.155,-0.42,0.34,0.488,0.59,0.546,99.6
0.082,-0.89,-0.155,-0.42,0.346,0.486,0.579,0.556,97.8
0.086,-0.885,-0.152,-0.432,0.346,0.486,0.579,0.556,97.8
0.086,-0.885,-0.152,-0.432,0.354,0.478,0.56,0.577,94.4
0.091,-0.88,-0.149,-0.441,0.354,0.478,0.56,0.577,94.4
0.101,-0.871,-0.144,-0.458,0.354,0.478,0.56,0.577,94.4
0.101,-0.871,-0.144,-0.458,0.355,0.477,0.552,0.585,93.3
0.101,-0.871,-0.144,-0.458,0.356,0.477,0.549,0.587,92.9
0.106,-0.868,-0.141,-0.464,0.356,0.477,0.549,0.587,92.9
0.105,-0.869,-0.139,-0.462,0.356,0.477,0.549,0.587,92.9
0.105,-0.869,-0.139,-0.462,0.356,0.481,0.549,0.584,93.2
0.105,-0.869,-0.139,-0.462,0.355,0.481,0.549,0.584,93.3
0.105,-0.869,-0.139,-0.462,0.352,0.481,0.553,0.582,93.8
0.106,-0.87,-0.138,-0.461,0.352,0.481,0.553,0.582,93.8
0.106,-0.872,-0.137,-0.458,0.352,0.481,0.553,0.582,93.9
0.107,-0.872,-0.137,-0.457,0.352,0.481,0.553,0.582,93.9
0.107,-0.872,-0.137,-0.457,0.351,0.481,0.554,0.582,94.1
0.105,-0.876,-0.138,-0.451,0.351,0.481,0.554,0.582,94.1
0.105,-0.877,-0.143,-0.445,0.351,0.481,0.554,0.582,94.0
0.1,-0.885,-0.145,-0.432,0.351,0.481,0.554,0.582,94.0
0.1,-0.885,-0.145,-0.432,0.348,0.483,0.559,0.577,94.9
0.1,-0.885,-0.145,-0.432,0.338,0.489,0.579,0.559,98.1
0.1,-0.885,-0.145,-0.432,0.328,0.502,0.596,0.534,101.9
0.1,-0.885,-0.145,-0.432,0.313,0.513,0.618,0.507,106.5
